userid,tweet_count,link_count,thread_count
2342489587,5,7,3
44299861,5,7,1
2528078443,5,8,3
102753391,5,8,2
1170521407,5,10,1
1043676782,5,11,1
76642050,5,9,2
15164565,5,47,5
789148104,5,8,1
2782303899,5,5,5
216544692,5,6,2
335814238,5,9,1
304701570,5,9,2
422366976,5,7,2
115650912,5,8,1
797743976,5,8,3
34713362,5,44,5
3367641,5,9,2
2852446116,5,9,5
2884603973,5,10,1
150617972,5,11,1
154066182,5,14,1
298133253,5,10,1
18334049,5,9,2
47992292,5,34,3
1520983754,5,8,2
310750549,5,17,1
2194623472,5,10,1
2808659378,5,6,1
132179181,5,7,4
14511951,5,49,5
1406255324,5,10,1
592917236,5,9,1
261350157,5,9,1
2938592060,5,7,2
2495613440,5,5,5
281202163,5,5,5
343921236,5,9,2
149286219,5,6,5
99688627,5,9,1
1030190107,5,10,1
76858507,5,33,3
2920644253,5,17,1
2558862918,5,9,1
219925338,5,9,2
20505437,5,11,1
605758263,5,9,1
1546035500,5,8,1
2147851824,5,5,4
123622674,5,5,5
268553261,5,9,1
1952274836,5,7,3
149343637,5,6,3
1536439189,5,9,1
1312728277,5,10,1
948517734,5,5,5
18560379,5,7,2
15439395,5,45,5
1509803635,5,5,5
20994010,5,6,4
361871176,5,6,2
2423575507,5,9,1
213567647,5,10,1
36648285,5,6,3
2453770044,5,0,5
22991678,5,7,1
952339862,5,6,3
827352452,5,7,3
1341567133,5,8,2
213530957,5,6,4
2802294698,5,8,3
2864066428,5,5,2
56114051,5,6,4
39215111,5,11,1
458328611,5,9,2
1267085329,5,7,3
438717318,5,9,1
2287612675,5,7,4
23444554,5,6,4
2453787236,5,0,5
279681294,5,10,1
1963598808,5,5,5
951964526,5,8,2
955046888,5,9,1
2932422959,5,5,4
172525247,5,12,1
759054781,5,6,2
2889166382,5,6,2
248151700,5,9,2
93188159,5,10,1
303431305,5,6,1
465790247,5,5,5
129834146,5,9,1
765941791,5,12,3
22966462,5,6,2
354917016,5,5,5
339856642,5,9,1
270762898,5,9,1
89778644,5,12,1
233296333,5,10,2
83936051,5,7,1
2627943512,5,6,2
181873706,5,6,5
219481281,5,11,1
57606434,5,10,1
2968009269,5,8,1
259020453,5,8,1
311442172,5,10,1
2431028329,5,5,2
2966801999,5,9,1
392421897,5,11,1
20959178,5,8,2
2315428177,5,7,4
23363599,5,11,1
16408867,5,5,2
558865013,5,10,1
622551913,5,9,1
1857982483,5,6,3
91800790,5,12,1
631107358,5,8,1
1109685884,5,6,5
856830824,5,5,1
2965768288,5,11,1
2309054839,5,13,1
2248475133,5,8,2
1634077976,5,22,2
553166157,5,9,1
80659230,5,10,1
518921096,5,17,1
2403021054,5,9,1
2478933655,5,9,3
999907196,5,5,5
564583709,5,9,1
2912429401,5,9,1
477683306,5,9,1
222471144,5,22,1
12610772,5,11,1
2951041689,5,10,1
646483,5,16,1
2938623403,5,5,1
548133519,5,7,1
2695178941,5,6,4
468588961,5,5,5
94419041,5,7,1
16446751,5,7,1
31423055,5,7,1
2851551783,5,7,5
1697202180,5,10,1
14287669,5,10,1
434988195,5,6,5
395175296,5,6,5
87638663,5,10,2
2775130295,5,8,2
2959360301,5,7,5
325083956,5,15,2
1726161012,5,8,1
2877158969,5,5,3
626682905,5,9,2
2413247540,5,5,5
1241386093,5,6,2
2256704753,5,7,1
263981499,5,7,2
1065445292,5,10,1
20902016,5,8,1
20123698,5,9,1
2305894919,5,11,1
17463660,5,17,1
111685488,5,7,1
195123772,5,10,2
27414346,5,10,1
2527781240,5,7,1
1045406132,5,11,1
52551157,5,10,1
2951439239,5,9,1
2888198099,5,8,1
